N° MC,,,,cod articolo,descrizione,N° fusi reali,velocita fusi inferiori,data ora partenza,data ora fine,data ora fine manuale,ore lavorate dalla partenza,KWh assorbiti,KW medi,produzione [kg],KWh/Kg,€/Kg,note,N° scheda
-,Anno Inizio : 2024,,,,,,,,,,,,,,,,,
,-,Mese Inizio : 4,,,,,,,,,,,,,,,,
,,+,15,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,19856,13/06/2024 13:58:43,13/06/2024 14:14:57,,"398,1500","2,7300","0,0069","128,9700","0,0200","0,0100",FERMATA A TEMPO 404H                              PARTIRE CON SPOLE FADIS3,24/95003-F3
,,+,15,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,19789,15/06/2024 13:32:05,02/07/2024 09:31:07,,"404,00","4698,6100","11,6302","130,4200","36,0300","7,9300",FERMATA A TEMPO 404H           PARTIRE CON SPOLE FADIS3,24/95003-F3
,,+,16,2270s+z,,256,19792,11/06/2024 14:56:58,28/06/2024 07:55:12,,"400,9800","4471,6500","11,1518",,,,2270s+z,
,,+,17,2270s+z,,256,19812,03/06/2024 16:14:00,20/06/2024 03:59:55,,"395,700","4924,1500","12,4441",,,,2270s+z,
,,+,17,7034ZN,"Cr 78/22f7 Z tpm 1900 st. 4,0 (EA)",256,20171,27/06/2024 11:20:12,07/07/2024 11:29:24,,"240,1500","4029,9500","16,7810","161,7500","24,9200","5,4800",,24/82603-C10
,,+,18,4466S+ZN,"Ly44/22f7 S+Z tpm 1900 stiro 3,6 (DG)",256,18850,04/06/2024 08:48:05,14/06/2024 02:57:41,,"234,0800","3270,7200","13,9727","121,9800","26,8100","5,900",,24/71801-F2
,,+,18,4466S+ZN,"Ly44/22f7 S+Z tpm 1900 stiro 3,6 (DG)",256,18852,14/06/2024 16:05:51,24/06/2024 09:21:12,,"233,1800","3253,1700","13,9513","121,5300","26,7700","5,8900",,24/71701-F1
,,+,18,4466S+ZN,"Ly44/22f7 S+Z tpm 1900 stiro 3,6 (DG)",256,18853,24/06/2024 21:26:58,04/07/2024 07:10:10,,"225,7200","3124,2200","13,8411","117,6400","26,5500","5,8400",,24/71802-F3
,,+,19,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,19792,05/06/2024 13:11:37,22/06/2024 09:18:52,,"404,0800","4719,4900","11,6796","130,4700","36,1700","7,9600",,24/82802-F3
,,+,19,2270s+z,,256,19794,22/06/2024 20:28:21,09/07/2024 07:43:44,,"395,2300","4603,7300","11,6482",,,,2270s+z,
,,+,20,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,19788,06/06/2024 13:54:44,24/06/2024 14:14:15,,"432,1800","5328,4100","12,3291","139,5100","38,1900","8,400",,24/92103-CS2
,,+,20,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,19788,24/06/2024 16:15:08,10/07/2024 06:43:58,,"374,3800","4639,2400","12,3918","120,8500","38,3900","8,4400",,23/63906-CS2+C10
,,+,21,7036ZN,"Ly78/44F34 Z tpm 900 st. 4,2 (EC)",256,13168,14/06/2024 10:42:59,21/06/2024 04:56:30,,"162,200","1748,7900","10,7817","229,0400","7,6400","1,6800",,23/58506-F1
,,+,21,7036ZN,"Ly78/44F34 Z tpm 900 st. 4,2 (EC)",256,13169,21/06/2024 10:40:21,28/06/2024 07:55:28,,"165,1200","1782,7900","10,7969","233,1700","7,6500","1,6800",,24/68601-F2+F3
,,+,21,7036ZN,"Ly78/44F34 Z tpm 900 st. 4,2 (EC)",256,13170,28/06/2024 11:29:03,05/07/2024 04:06:48,,"160,5500","1694,7600","10,5560","226,7400","7,4800","1,6400",,23/58507-F1
,,+,22,2250S+ZN,"KL22/11f5 S+Z tpm 1400 st. 2,75 (CHF)",256,18461,01/06/2024 12:22:11,15/06/2024 01:35:50,,"325,1500","3324,8100","10,2255","123,9700","26,8200","5,900",,23/69605-C10
,,+,22,10353ZF,"Ly 78/44f13 Z tpm 1100 st. 2,6 (CG)",256,17041,19/06/2024 08:41:10,23/06/2024 13:10:09,,"100,4200","1327,6300","13,2208","176,7400","7,5100","1,6500",,23/52005-F2
,,+,22,X22-7810S-ZN354 4 ci,"Ly 78/50f42 s+Z tpm 1100 st. 3,5 (EC)",256,13579,24/06/2024 10:36:14,27/06/2024 20:31:44,,"81,8200","814,7500","9,9578","113,3600","7,1900","1,5800",,24/68401-F3
,,+,22,X22-7810s+z,,256,13572,28/06/2024 13:18:06,02/07/2024 02:47:09,,"82,1800","828,8400","10,0857",,,,X22-7810s+z,
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",256,19266,06/06/2024 15:29:42,09/06/2024 15:56:06,,"72,4300","995,7600","13,7479","110,4800","9,0200","1,9800",,24/84202-F1
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",256,19320,09/06/2024 16:04:20,12/06/2024 11:38:18,,"67,4500","773,4600","11,4672","103,1700","7,4900","1,6500",,
,,+,24,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",256,18445,08/06/2024 13:29:20,17/06/2024 09:58:30,,"212,500","2673,1200","12,5794","124,7900","21,4200","4,7100",NO NODI SOST TUB ALLA ROTTURA       ,24/79004-F3
,,+,24,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",256,18447,18/06/2024 10:45:48,27/06/2024 05:21:31,,"210,5200","2618,5800","12,4386","123,6400","21,1800","4,6600",NO NODI SOST TUB ALLA ROTTURA       ,24/89207-F3
,,+,24,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",256,18449,27/06/2024 09:20:10,06/07/2024 05:32:13,,"212,1800","2612,200","12,3112","124,6300","20,9600","4,6100",NO NODI SOST TUB ALLA ROTTURA       ,24/67301-F3
,,+,25,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",256,18374,03/06/2024 13:43:25,12/06/2024 09:12:21,,"211,3300","2885,7900","13,6554","123,6300","23,3400","5,1400",NO NODI SOST TUB ALLA ROTTURA      ,24/78403-F1+3
,,+,25,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",256,18377,13/06/2024 09:34:55,22/06/2024 05:23:48,,"211,6700","2832,700","13,3826","123,8400","22,8800","5,0300",NO NODI SOST TUB ALLA ROTTURA      ,24/72102-F3
,,+,25,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",256,18380,22/06/2024 09:14:12,01/07/2024 06:00:43,,"212,6800","2834,6600","13,3283","124,4600","22,7800","5,0100",NO NODI SOST TUB ALLA ROTTURA      ,24/79005-F3
,,+,26,2270S+ZN mini 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,19816,03/06/2024 14:39:30,20/06/2024 10:45:41,,"404,0500","3963,4800","9,8094","130,6100","30,3400","6,6800",,23/62205-M6
,,+,26,2270S+ZN mini 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,19816,20/06/2024 14:02:35,07/07/2024 06:15:11,,"400,0700","3870,1300","9,6736","129,3300","29,9200","6,5800",,23/69705-M8
,,+,27,X20-2219V2ZF,"K 22-11f5 riciclato Z tpm 1900 st. 2,8",256,19850,15/06/2024 09:14:27,02/07/2024 23:45:45,,"422,3300","3924,1800","9,2917","132,7300","29,5600","6,500",X20-2219V2zf mini,
,,+,28,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",256,21045,06/06/2024 13:34:38,17/06/2024 12:58:32,,"263,2800","2791,100","10,6013","93,6300","29,8100","6,5600",,24/89305-M4
,,+,28,X21-2099s+z mini,,256,21051,19/06/2024 13:47:01,30/06/2024 04:02:27,,"254,100","2679,9100","10,5467",,,,X21-2099s+z mini,
,,+,29,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14499,13/06/2024 14:35:19,18/06/2024 10:04:09,,"115,3700","743,7800","6,4469","185,2100","4,0200","0,8800",CAMPIONE CREORA 130,24/72202-F1
,,+,29,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14497,18/06/2024 17:57:06,23/06/2024 04:23:20,,"106,2700","713,3700","6,7128","167,2600","4,2600","0,9400",SU QUESTA MC GIRA X23-13097ZF CON CR.130/33F20PAR.,23/69506-F1
,,+,29,X23-13097V5ZF,"Cr 130/33f20 par Z tpm 900 st. 4,2 (EC)",256,16247,28/06/2024 13:54:15,02/07/2024 14:02:40,,"95,900","975,700","10,1741","179,4700","5,4400","1,200",,
,,+,30,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14497,01/06/2024 09:48:41,06/06/2024 06:14:35,,"116,400","994,8800","8,5471","182,4200","5,4500","1,200",SCARICARE SUL CARRELLO,24/95406-F1
,,+,30,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14494,06/06/2024 08:54:56,11/06/2024 04:02:19,,"114,9700","987,0700","8,5855","180,1400","5,4800","1,2100",SCARICARE SUL CARRELLO,24/74802-F1
,,+,30,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14493,11/06/2024 15:13:57,16/06/2024 05:58:52,,"110,7500","954,7100","8,6204","173,5200","5,500","1,2100",SCARICARE SUL CARRELLO,24/97706-F1
,,+,30,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14492,16/06/2024 12:34:04,21/06/2024 06:26:02,,"113,8700","982,2400","8,6260","182,7100","5,3700","1,1800",,23/66504*F1
,,+,30,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14496,21/06/2024 09:00:41,26/06/2024 05:02:14,,"115,9700","999,4400","8,6181","186,1300","5,3700","1,1800",,23/66406-F1
,,+,30,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14493,26/06/2024 15:04:02,01/07/2024 09:00:28,,"113,9300","1001,00","8,7861","179,2800","5,5800","1,2300",,24/72203-F1
,,+,31,4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)",256,13001,01/06/2024 11:08:12,06/06/2024 05:52:13,,"114,6700","1246,1100","10,8669","197,4200","6,3100","1,3900",creora 44 usata va 3 cicli,24/72901-F1+2
,,+,31,4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)",256,13004,07/06/2024 09:29:31,12/06/2024 05:05:44,,"115,5300","1238,6600","10,7215","198,9500","6,2300","1,3700",creora 44 usata va 3 cicli,24/73002-F1
,,+,31,4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)",256,13005,12/06/2024 14:50:18,17/06/2024 09:36:22,,"114,7300","1196,100","10,4253","197,5900","6,0500","1,3300",creora 44 usata va 3 cicli,24/72902-F1
,,+,31,13007ZF 903C 14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14474,17/06/2024 12:59:53,22/06/2024 06:08:55,,"113,00","892,00","7,8938","176,8100","5,0400","1,1100",,24/95407-F1
,,+,31,13007ZF 903C 14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14468,22/06/2024 09:49:05,27/06/2024 03:52:17,,"113,9700","937,8100","8,2286","178,2500","5,2600","1,1600",,24/74603-F3
,,+,31,13007ZF 903C 14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14466,27/06/2024 11:22:09,01/07/2024 20:49:04,,"105,4500","882,5900","8,3697","164,9100","5,3500","1,1800",,24/98604-F1
,,+,32,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14572,03/06/2024 10:23:40,07/06/2024 23:45:44,,"109,2200","998,7600","9,1445","172,0500","5,8100","1,2800","SCARICARE SUL CARRELLO
FERMATA A TEMPO 115H                              PARTIRE CON SPOLE FADIS3",24/72801-F3
,,+,32,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14575,08/06/2024 08:55:45,13/06/2024 03:57:11,,"115,0200","1010,6600","8,7868","181,2200","5,5800","1,2300","SCARICARE SUL CARRELLO
FERMATA A TEMPO 115H                              PARTIRE CON SPOLE FADIS3",24/78603-F3
,,+,32,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14573,13/06/2024 14:56:52,23/06/2024 04:34:41,23/06/2024 10:00:00,"224,4300","2014,4700","8,9759","362,1400","5,5600","1,2200",,24/99804-F1
,,+,32,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14577,24/06/2024 08:12:33,29/06/2024 04:41:08,,"116,4500","1017,200","8,7351","184,300","5,5200","1,2100",,24/93406-F1
,,+,32,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14576,29/06/2024 13:49:50,04/07/2024 07:44:34,,"113,900","981,9800","8,6214","180,2500","5,4500","1,200",,24/99805-F1
,,+,33,X21-2099s+z mini,,256,21152,13/06/2024 10:54:04,24/06/2024 03:56:46,,"256,9500","2813,1700","10,9483",,,,x21-2099s+z mini,
,,+,34,X21-2099s+z mini,,256,21123,17/06/2024 15:16:47,27/06/2024 21:28:32,,"246,0700","2790,1100","11,3387",,,,X21-2099s+z mini,
,,+,35,2275S+ZN-N00,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",256,13515,04/06/2024 13:23:27,09/06/2024 13:42:06,,"120,2200","1455,7200","12,1088","217,4400","6,700","1,4700",rpm13500 va 5gg+2h,24/73702-F2
,,+,35,2275S+ZN-N00,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",256,13477,10/06/2024 09:47:43,15/06/2024 09:49:32,,"119,9800","1450,3200","12,0880","216,4100","6,700","1,4700",rpm13500 va 5gg+2h,24/72302-F2
,,+,35,2275S+ZN-N00,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",256,13478,15/06/2024 12:16:48,20/06/2024 15:14:55,,"122,9700","1482,2300","12,0536","221,8100","6,6800","1,4700",rpm13500 va 5gg+2h,24/73703-F2
,,+,35,2275S+ZN-N00,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",256,13498,22/06/2024 06:47:02,27/06/2024 07:36:38,,"120,7300","1478,0500","12,2426","218,100","6,7800","1,4900",rpm13500 va 5gg+2h,24/72303-F2
,,+,35,2275S+ZN-N00,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",256,13475,29/06/2024 09:04:19,04/07/2024 09:03:17,,"119,9200","1485,2900","12,3857","216,2600","6,8700","1,5100",rpm13500 va 5gg+2h,24/73704-F2
,,+,36,X23-1299DN mini,"Ly 12/8f5 dc tpm 2600 st. 2,6 (CG)",256,20194,13/06/2024 13:29:10,05/07/2024 12:32:43,,"527,0300","4487,900","8,5155","65,0700","68,9700","15,1700",RACCOLTA DIRETTA TASSATIVO TESTA CODA,23/68406-O7
,,+,37,S15-160018DN,"Mu1600/50/1 kevlar DC tpm 800 st. 5,0 (FA)",256,7000,03/06/2024 10:34:09,04/06/2024 14:36:53,,"27,900","114,2900","4,0964","137,5600","0,8300","0,1800",,24/75104-F2
,,+,37,S15-160018DN,"Mu1600/50/1 kevlar DC tpm 800 st. 5,0 (FA)",256,7000,06/06/2024 16:06:04,07/06/2024 20:35:28,,"28,4200","74,0700","2,6063","140,1100","0,5300","0,1200",,24/75705-F2
,,+,37,S14-60003V2DN 23h,"Mu600/70/1 Nomex DC tpm 1100 st. 4,4 (EE)",256,8500,18/06/2024 11:16:15,20/06/2024 09:16:09,22/06/2024 10:00:00,"45,9300","203,0300","4,4204","119,5600","1,700","0,3700","gr spola 350, ciclo 1gg + 22h",24/69601-F2
,,+,37,S14-60003V2DN 23h,"Mu600/70/1 Nomex DC tpm 1100 st. 4,4 (EE)",256,8624,20/06/2024 13:05:30,22/06/2024 10:27:06,,"45,3500","202,200","4,4587","119,7700","1,6900","0,3700","gr spola 350, ciclo 1gg + 22h",24/69601-F2
,,+,37,S14-60003V2DN 23h,"Mu600/70/1 Nomex DC tpm 1100 st. 4,4 (EE)",256,8689,25/06/2024 09:17:59,27/06/2024 05:55:50,,"44,600","202,2700","4,5352","118,6800","1,700","0,3700","gr spola 350, ciclo 1gg + 22h",24/69602-F2
,,+,37,S14-60003V2DN 23h,"Mu600/70/1 Nomex DC tpm 1100 st. 4,4 (EE)",256,8676,28/06/2024 09:45:40,30/06/2024 07:24:31,,"45,6200","206,0400","4,5164","121,200","1,700","0,3700","gr spola 350, ciclo 1gg + 22h",29/69502-F2
,,+,38,31004DN220379 dm84,"Cr310/78f68 dc tpm 1200 st. 2,7 (CH)",256,13642,05/06/2024 11:39:44,07/06/2024 08:47:58,,"44,9300","286,1700","6,3692","116,900","2,4500","0,5400",,24/90202/01-F2
,,+,38,31004DN220379 dm84,"Cr310/78f68 dc tpm 1200 st. 2,7 (CH)",256,13674,07/06/2024 13:00:31,09/06/2024 12:01:06,,"46,9500","257,1400","5,4769","122,4300","2,100","0,4600",,24/90303-F2
,,+,38,X21-20099DN2,"Ly200/22f10 DC tpm 1500 st. 4,6 (EG)",256,19821,12/06/2024 11:36:06,18/06/2024 07:38:58,,"139,9800","1790,6600","12,7923","133,8200","13,3800","2,9400",,24/83705-F1
,,+,38,X21-20099DN2,"Ly200/22f10 DC tpm 1500 st. 4,6 (EG)",256,19796,19/06/2024 14:59:19,25/06/2024 05:59:25,,"134,8800","1723,2500","12,7762","128,7800","13,3800","2,9400",,24/88507-F1
,,+,39,39502DN-14446,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)",256,11343,06/06/2024 11:05:00,07/06/2024 07:40:34,,"20,4500","159,900","7,8191","109,500","1,4600","0,3200",+ CAMPIONI,
,,+,39,39502DN-14446,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)",256,11337,07/06/2024 08:24:38,08/06/2024 00:42:06,,"16,1500","102,9900","6,3771","86,4300","1,1900","0,2600",+ CAMPIONI,24/71401-F3
,,+,39,4462ZN2,"Cr44/78f68 nero Z tpm 1000 st. 3,2 (DC)",216,13131,12/06/2024 13:35:56,16/06/2024 07:40:07,,"90,0200","330,8600","3,6754","147,2200","2,2500","0,4900",+ CAMPIONI,24/70501-F3
,,+,39,31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8",43,13736,17/06/2024 11:28:08,19/06/2024 13:11:45,,"49,6700","550,3600","11,0803","19,0300","28,900","6,3600",+ CAMPIONI,24/71902+24/70401-F2
,,+,39,31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8",256,13644,19/06/2024 13:17:58,21/06/2024 12:01:53,,"46,700","364,700","7,8094","105,8200","3,4500","0,7600",,LEVATA
,,+,39,31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8",256,13731,21/06/2024 15:45:28,23/06/2024 15:59:26,,"48,200","527,0800","10,9353","109,9100","4,7900","1,0500",,
,,+,39,31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8",256,13821,23/06/2024 17:43:49,25/06/2024 13:29:49,,"43,7300","363,7800","8,3188","100,3800","3,6300","0,800",,24/70301-F2
,,+,39,31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8",256,13874,26/06/2024 09:21:54,28/06/2024 08:52:35,,"47,4500","274,5900","5,7869","109,3300","2,5200","0,5500",,24/67701+24/67601-F2
,,+,39,31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8",256,13704,28/06/2024 14:27:30,30/06/2024 14:42:14,,"48,0800","276,00","5,7404","109,4300","2,5200","0,5500",,24/67501-F2
,,+,40,31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8",256,13596,03/06/2024 09:14:25,06/06/2024 10:22:06,,"72,9700","658,4300","9,0233","164,7500","3,9900","0,8800",,24/71901-F2
,,+,40,31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8",256,13690,06/06/2024 13:17:51,08/06/2024 10:13:25,,"35,1300","179,5500","5,1110","79,8800","2,2500","0,500",,
,,+,40,62001DN2,"Ro620/50f34 dc tpm 800 st.5,2",256,13135,10/06/2024 11:51:26,12/06/2024 12:58:00,,"49,1200","421,0400","8,5717","135,3100","3,1100","0,6800",,24/78004-F3
,,+,40,62001DN2,"Ro620/50f34 dc tpm 800 st.5,2",256,13182,12/06/2024 13:09:27,14/06/2024 02:47:40,,"37,6500","251,4300","6,6781","104,0900","2,4100","0,5300",,
,,+,40,62001DN2,"Ro620/50f34 dc tpm 800 st.5,2",256,13198,14/06/2024 14:10:16,16/06/2024 14:12:22,,"48,0300","288,5700","6,0081","132,9600","2,1700","0,4800",,24/78005-F3
,,+,40,62001DN2,"Ro620/50f34 dc tpm 800 st.5,2",256,13214,16/06/2024 14:22:33,18/06/2024 05:02:15,,"38,5200","201,3500","5,2272","106,7400","1,8800","0,4100",,24/78004-F3
,,+,40,62001DN1,"Ro620/44f34 dc tpm 800 st. 5,2 (FC)",256,13137,18/06/2024 14:59:18,20/06/2024 13:34:52,,"46,600","390,700","8,3841","121,2400","3,2300","0,7100",,24/69101-F1
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",256,19921,04/06/2024 20:55:11,08/06/2024 09:39:52,,"84,700","958,6500","11,3182","102,2300","9,3800","2,0600",,24/91707-F3
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",256,19926,08/06/2024 10:59:27,12/06/2024 08:50:40,,"93,7700","1039,0600","11,0809","113,200","9,1800","2,0200",,24/92707-C10
,,+,41,33002DN,"Ly330/22f7 dc tpm 1200 st. 4,8 (EI)",256,19873,12/06/2024 13:18:30,15/06/2024 12:27:09,,"71,00","1008,1400","14,1992","104,6400","9,6300","2,1200",,24/88305-F1
,,+,41,33002DN,"Ly330/22f7 dc tpm 1200 st. 4,8 (EI)",256,19993,15/06/2024 13:15:16,18/06/2024 12:42:08,,"71,300","781,4100","10,9595","105,7100","7,3900","1,6300",,24/92707-C10
,,+,41,33002DN,"Ly330/22f7 dc tpm 1200 st. 4,8 (EI)",256,19885,18/06/2024 15:36:03,21/06/2024 14:50:30,,"71,1300","961,3200","13,5150","104,900","9,1600","2,0200",,24/69201-F3
,,+,41,33002DN,"Ly330/22f7 dc tpm 1200 st. 4,8 (EI)",256,19989,21/06/2024 15:34:22,24/06/2024 12:34:09,,"68,8700","744,9200","10,8163","102,0800","7,300","1,6100",,
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",256,19981,24/06/2024 15:05:45,28/06/2024 10:33:48,,"91,3300","1050,0400","11,4972","110,5700","9,500","2,0900",,24/84904-C10
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",256,19968,28/06/2024 12:52:40,02/07/2024 11:48:16,,"94,8300","1094,5100","11,5418","114,7300","9,5400","2,100",,24/91708-C10
,,+,42,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",256,16101,03/06/2024 06:08:49,05/06/2024 17:44:16,,"59,5300","458,300","7,6986","114,9700","3,9800","0,8800",,24/84807-F1+2
,,+,42,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",256,16091,07/06/2024 13:50:40,10/06/2024 02:14:14,,"60,3800","467,500","7,7426","116,5300","4,0200","0,8800",,24/83506-F2
,,+,42,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",256,16098,12/06/2024 10:53:22,14/06/2024 23:22:32,,"60,4300","482,4900","7,9843","116,6800","4,1300","0,9100",,
,,+,42,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",256,16095,25/06/2024 10:43:26,28/06/2024 01:13:08,,"62,4500","477,8500","7,6517","120,5500","3,9700","0,8700",,24/83507-F2
,,+,42,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",256,16068,28/06/2024 11:06:34,01/07/2024 01:21:39,,"62,1800","475,1100","7,6409","119,8400","3,9600","0,8700",,24/84706-F2
,,+,43,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14623,05/06/2024 19:03:08,10/06/2024 14:57:37,,"115,9200","1100,0200","9,4895","187,6800","5,8600","1,2900",,24/99803-F1
,,+,43,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14602,10/06/2024 20:07:19,15/06/2024 06:50:31,,"106,7200","1026,1900","9,6157","168,4600","6,0900","1,3400",,24/98603-F3
,,+,43,13007ZF 903C 14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14601,15/06/2024 08:43:48,20/06/2024 07:23:41,,"118,6500","1093,8200","9,2189","187,2800","5,8400","1,2900",,
,,+,43,13007ZF 903C 14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14601,20/06/2024 15:21:32,25/06/2024 13:30:02,,"118,00","1094,6700","9,2769","186,2500","5,8800","1,2900",,24/77403-F3
,,+,43,13007ZF 903C 14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14587,25/06/2024 15:28:41,29/06/2024 13:28:54,,"93,8700","926,2900","9,8678","148,0200","6,2600","1,3800",,24/72802-F1
,,+,44,X23-3399S+ZF,"Ly 33/13f7 S+Z tpm 1750 st. 3,1",256,,01/06/2024 06:34:31,11/06/2024 02:33:27,,"235,900","2808,6700","11,9062","96,3600","29,1500","6,4100","NO NODI SOST TUB ALLA ROTTURA
",23/46707-MS1
,,+,44,2246ZN 10800,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)",256,10800,25/06/2024 12:51:21,29/06/2024 07:07:23,,"90,1500","770,4600","8,5464","203,8300","3,7800","0,8300",,24/68201-F2
,,+,44,2246ZN 10800,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)",256,10800,29/06/2024 10:23:27,03/07/2024 04:15:35,,"89,8200","792,0700","8,8184","203,0800","3,900","0,8600",,24/67201-F3
,,+,45,7034ZN,"Cr 78/22f7 Z tpm 1900 st. 4,0 (EA)",256,20742,10/06/2024 12:50:00,20/06/2024 09:39:11,,"236,7200","4101,8200","17,3277","163,9500","25,0200","5,500",,24/82602-F3
,,+,45,7034ZN,"Cr 78/22f7 Z tpm 1900 st. 4,0 (EA)",256,20726,20/06/2024 15:48:57,30/06/2024 13:12:49,,"237,3500","4301,1500","18,1216","164,2600","26,1800","5,7600",,
,,+,46,2279ZNB10A 13200,Cr22/78f68 Z pink tpm 600 st- 3.2 (DC),256,13563,01/06/2024 13:22:42,04/06/2024 12:56:22,,"71,4800","1144,7900","16,0155","193,2800","5,9200","1,300",,24/74202-F3
,,+,46,2279ZNB10A 13200,Cr22/78f68 Z pink tpm 600 st- 3.2 (DC),256,13588,04/06/2024 16:07:35,07/06/2024 16:06:27,,"71,900","1094,0400","15,2161","194,7700","5,6200","1,2400",,24/74303-F3
,,+,46,2279ZNB10A 13200,Cr22/78f68 Z pink tpm 600 st- 3.2 (DC),256,13574,08/06/2024 07:09:28,11/06/2024 06:51:27,,"71,5300","1116,8300","15,6134","193,5700","5,7700","1,2700",,24/74203-F3
,,+,46,2279ZNB10A 13200,Cr22/78f68 Z pink tpm 600 st- 3.2 (DC),256,13579,11/06/2024 11:41:14,14/06/2024 11:12:51,,"71,4200","1118,4700","15,6605","193,3300","5,7800","1,2700",,24/74304-F3
,,+,46,2279ZNB10A 13200,Cr22/78f68 Z pink tpm 600 st- 3.2 (DC),256,13568,14/06/2024 14:00:23,18/06/2024 17:23:11,,"73,00","1161,8900","15,9163","197,4500","5,8800","1,2900",,24/74204-F3
